name,description,price,stock,category,brand,rating,image1,image2,image3,image4,image5
Standford Beevis,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",6742.5,316,Toys,Jazzy,1.5,http://dummyimage.com/178x100.png/dddddd/000000,,http://dummyimage.com/213x100.png/ff4444/ffffff,,
Kayley Brotherhead,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,6386.9,597,Food - Breakfast,Centizu,1.4,http://dummyimage.com/182x100.png/cc0000/ffffff,http://dummyimage.com/248x100.png/ff4444/ffffff,,,
Ambrosius Dossetter,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",6310.04,760,Pets,Skyvu,0.9,http://dummyimage.com/235x100.png/ff4444/ffffff,http://dummyimage.com/197x100.png/dddddd/000000,http://dummyimage.com/222x100.png/ff4444/ffffff,,http://dummyimage.com/165x100.png/5fa2dd/ffffff
Dev Bassett,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",4710.32,519,Books,Edgeclub,4.3,http://dummyimage.com/227x100.png/5fa2dd/ffffff,http://dummyimage.com/226x100.png/dddddd/000000,http://dummyimage.com/112x100.png/ff4444/ffffff,http://dummyimage.com/250x100.png/dddddd/000000,
Doyle Aylett,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",4764.62,616,Tools,Dynava,1.3,http://dummyimage.com/100x100.png/5fa2dd/ffffff,http://dummyimage.com/161x100.png/5fa2dd/ffffff,http://dummyimage.com/120x100.png/dddddd/000000,,http://dummyimage.com/118x100.png/ff4444/ffffff
Arabel Van Arsdalen,Sed ante. Vivamus tortor. Duis mattis egestas metus.,8960.89,384,Kitchen,Realbuzz,2.0,http://dummyimage.com/245x100.png/cc0000/ffffff,,,,http://dummyimage.com/250x100.png/5fa2dd/ffffff
Cecelia Rands,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",1396.74,929,Food - Desserts,Edgeclub,3.7,http://dummyimage.com/161x100.png/5fa2dd/ffffff,http://dummyimage.com/202x100.png/dddddd/000000,http://dummyimage.com/193x100.png/ff4444/ffffff,,
Stearn Erlam,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",7067.8,969,Accessories,Plambee,4.7,http://dummyimage.com/200x100.png/5fa2dd/ffffff,http://dummyimage.com/243x100.png/5fa2dd/ffffff,http://dummyimage.com/192x100.png/dddddd/000000,http://dummyimage.com/191x100.png/5fa2dd/ffffff,
Cale Eymer,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",5537.4,107,Food - Soups,Meeveo,2.8,http://dummyimage.com/198x100.png/ff4444/ffffff,http://dummyimage.com/240x100.png/5fa2dd/ffffff,,http://dummyimage.com/114x100.png/cc0000/ffffff,
Coralie Priel,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",2485.63,720,Food - Canned Goods,Gigaclub,4.0,http://dummyimage.com/213x100.png/cc0000/ffffff,,,http://dummyimage.com/178x100.png/cc0000/ffffff,
Marla Hansen,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",4019.37,98,Home,Oba,1.0,http://dummyimage.com/217x100.png/dddddd/000000,http://dummyimage.com/111x100.png/dddddd/000000,,,
Cos Brazenor,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,7384.1,794,Food - Frozen Food,Edgeclub,4.4,http://dummyimage.com/225x100.png/ff4444/ffffff,http://dummyimage.com/117x100.png/ff4444/ffffff,,http://dummyimage.com/202x100.png/ff4444/ffffff,
Yancy Lamberto,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",7625.03,502,Home,Youopia,3.4,http://dummyimage.com/163x100.png/dddddd/000000,http://dummyimage.com/174x100.png/dddddd/000000,http://dummyimage.com/203x100.png/dddddd/000000,http://dummyimage.com/201x100.png/ff4444/ffffff,
